club_id,name,age,market_value_est
6,Yuran Fernandes,19 Okt 1994 (31),"Rp6,95Mlyr."
6,Aloísio Neto,16 Agt 1997 (28),"Rp5,21Mlyr."
6,Syahrul Lasinari,24 Des 1999 (26),"Rp3,48Mlyr."
6,Daffa Salman,30 Apr 2002 (23),"Rp1,74Mlyr."
6,Jamil Al Rahman,13 Jan 2007 (19),-
6,Victor Luiz,5 Des 1997 (28),"Rp6,08Mlyr."
6,Mufli Hidayat,7 Agt 2005 (20),"Rp869,08Jt."
6,Akbar Tanjung,16 Mei 1993 (32),"Rp3,91Mlyr."
6,Ananda Raehan,17 Des 2003 (22),"Rp3,04Mlyr."
6,Muhammad Arfan,22 Jan 1998 (28),"Rp2,61Mlyr."
6,Rifky Dwi Septiawan,3 Feb 2002 (23),"Rp1,74Mlyr."
6,Gledson,18 Mei 1995 (30),"Rp1,74Mlyr."
6,Resky Fandi,6 Sep 1999 (26),"Rp1,30Mlyr."
6,Rasyid Bakri,17 Jan 1991 (35),"Rp869,08Jt."
6,Sávio Roberto,30 Apr 1996 (29),"Rp6,08Mlyr."
6,Daisuke Sakai,18 Jan 1997 (29),"Rp4,35Mlyr."
6,Fahrul Aditia,26 Jun 2003 (22),"Rp1,30Mlyr."
6,Rizky Eka Pratama,24 Des 1999 (26),"Rp3,48Mlyr."
6,Victor Dethan,11 Jul 2004 (21),"Rp3,91Mlyr."
6,Abdul Rahman,1 Agt 2002 (23),"Rp2,17Mlyr."
6,Dzaky Asraf,6 Feb 2003 (22),"Rp1,74Mlyr."
6,Gala Pagamo,11 Agt 2006 (19),"Rp869,08Jt."
6,Muh Fahrul,1 Apr 2008 (17),-
6,Luka Cumic,25 Mei 2001 (24),"Rp6,08Mlyr."
6,Alex Tanque,14 Apr 1994 (31),"Rp5,65Mlyr."
6,Abu Razard Kamara,1 Apr 1997 (28),"Rp4,35Mlyr."
6,Ricky Pratama,6 Mei 2003 (22),"Rp2,61Mlyr."
6,Jacques Thémopelé,8 Feb 1998 (27),"Rp2,17Mlyr."
7,Nadeo Argawinata,9 Mar 1997 (28),"Rp6,95Mlyr."
7,Syahrul Trisna,26 Nov 1995 (30),"Rp2,61Mlyr."
7,Daffa Fasya,7 Mei 2004 (21),"Rp1,74Mlyr."
7,Andhika Setiawan,27 Jan 2006 (20),-
7,Cleylton,19 Mar 1993 (32),"Rp3,91Mlyr."
7,Komang Teguh,28 Apr 2002 (23),"Rp3,48Mlyr."
7,Mohammad Al-Husseini,18 Des 2002 (23),"Rp3,04Mlyr."
7,Caxambu,23 Jan 1997 (29),"Rp4,35Mlyr."
7,Ardi Idrus,22 Jan 1993 (33),"Rp2,61Mlyr."
7,Rayhan Utina,8 Agt 2004 (21),"Rp869,08Jt."
7,Alfharezzi Buffon,28 Apr 2006 (19),"Rp1,30Mlyr."
7,Diego Michiels,8 Agt 1990 (35),"Rp869,08Jt."
7,Dika Kuswardani,5 Mar 2003 (22),"Rp434,54Jt."
7,Christophe Nduwarugira,22 Jun 1994 (31),"Rp6,08Mlyr."
7,Rivaldo Pakpahan,20 Jan 2003 (23),"Rp3,04Mlyr."
7,Ahmad Agung,9 Mar 1996 (29),"Rp1,30Mlyr."
7,Kei Hirose,20 Nov 1995 (30),"Rp6,95Mlyr."
7,Juan Felipe Villa,10 Okt 1999 (26),"Rp8,69Mlyr."
7,Marcos Astina,21 Jan 1996 (30),"Rp4,35Mlyr."
7,Ikhsanul Zikrak,8 Nov 2002 (23),"Rp1,30Mlyr."
7,Dwiky Hardiansyah,19 Apr 2004 (21),"Rp1,30Mlyr."
7,Tegar Islami,6 Feb 2006 (19),-
7,Muhammad Sihran,8 Mar 1999 (26),"Rp3,91Mlyr."
7,Redzuan Fachgi,8 Mar 2005 (20),"Rp173,82Jt."
7,Kaio Nunes,11 Jan 1996 (30),-
7,Mariano Peralta,20 Feb 1998 (27),"Rp10,43Mlyr."
7,Koldo Obieta,8 Okt 1993 (32),"Rp2,61Mlyr."
7,Mohammad Khanafi,30 Nov 1997 (28),"Rp1,74Mlyr."
7,Habibi Jusuf,5 Agt 1998 (27),"Rp1,30Mlyr."
7,Ousmane Camara,4 Okt 2007 (18),-
7,Dika Nurdiansyah,27 Okt 2007 (18),-
8,Cahya Supriadi,11 Feb 2003 (22),"Rp3,91Mlyr."
8,Harlan Suardi,26 Jan 1999 (27),"Rp2,61Mlyr."
8,Khairul Fikri,24 Feb 2003 (22),"Rp869,08Jt."
8,Gilang Ardha,14 Mar 2006 (19),-
8,Franco Ramos Mingo,18 Sep 1997 (28),"Rp6,08Mlyr."
8,Yusaku Yamadera,4 Agt 1997 (28),"Rp4,78Mlyr."
8,Andy Setyo,16 Sep 1997 (28),"Rp2,17Mlyr."
8,Rendra Teddy,14 Jun 1996 (29),"Rp2,17Mlyr."
8,Reva Adi,1 Sep 1996 (29),"Rp4,35Mlyr."
8,Dede Sapari,8 Apr 2004 (21),"Rp1,74Mlyr."
8,Raka Cahyana,24 Feb 2004 (21),"Rp2,61Mlyr."
8,Donny Warmerdam,2 Jan 2002 (24),"Rp6,95Mlyr."
8,Rakhmatsho Rakhmatzoda,6 Apr 2004 (21),"Rp3,48Mlyr."
8,Rio Hardiawan,29 Des 1996 (29),"Rp2,17Mlyr."
8,Ghulam Fatkur,11 Apr 1999 (26),"Rp1,74Mlyr."
8,Ezequiel Vidal,2 Agt 1995 (30),"Rp7,82Mlyr."
8,Zé Valente,14 Mei 1994 (31),"Rp6,52Mlyr."
8,Fahreza Sudin,12 Agt 2000 (25),"Rp2,61Mlyr."
8,Savio Sheva,23 Apr 2001 (24),"Rp2,17Mlyr."
8,Muhammad Iqbal,27 Okt 2000 (25),"Rp869,08Jt."
8,Anton Fase,6 Feb 2000 (25),"Rp3,04Mlyr."
8,Riyatno Abiyoso,18 Jan 1999 (27),"Rp2,17Mlyr."
8,Andi Irfan,25 Mei 2001 (24),"Rp2,61Mlyr."
8,Nermin Haljeta,7 Jun 1997 (28),"Rp6,52Mlyr."
8,Deri Corfe,3 Mar 1998 (27),"Rp3,48Mlyr."
9,Husna Al Malik,13 Jun 2003 (22),"Rp2,17Mlyr."
9,Léo Navacchio,28 Des 1992 (33),"Rp1,74Mlyr."
9,Rizqi Abhirama,2 Jul 2001 (24),"Rp869,08Jt."
9,Zidane Afreza,4 Apr 2006 (19),-
9,Kiko,25 Mar 2000 (25),"Rp3,91Mlyr."
9,Chechu Meneses,4 Jan 1995 (31),"Rp3,48Mlyr."
9,Hamra Hehanussa,1 Jul 1999 (26),"Rp3,48Mlyr."
9,Mario Yagalo,21 Apr 1993 (32),"Rp1,30Mlyr."
9,Muhamad Firly,16 Jul 1999 (26),"Rp1,30Mlyr."
9,Rezaldi Hehanussa,7 Nov 1995 (30),"Rp2,61Mlyr."
9,Yoga Adiatama,22 Des 1999 (26),"Rp1,74Mlyr."
9,Henhen Herdiana,10 Sep 1995 (30),"Rp2,61Mlyr."
9,Novri Setiawan,11 Nov 1993 (32),"Rp2,17Mlyr."
9,Gavin Kwan,5 Apr 1996 (29),"Rp1,30Mlyr."
9,Imanol García,26 Des 1995 (30),"Rp5,21Mlyr."
9,Bayu Otto,15 Okt 1999 (26),"Rp3,48Mlyr."
9,Telmo Castanheira,13 Apr 1992 (33),"Rp1,74Mlyr."
9,Adi Eko,18 Jan 1994 (32),"Rp1,30Mlyr."
9,Rifqi Ray,22 Jun 2004 (21),"Rp1,30Mlyr."
