name,age,market_value_est,club,league_country
Jamil Al Rahman,13 Jan 2007 (19),-,PSM Makassar,Unknown League
Victor Luiz,5 Des 1997 (28),"Rp6,08Mlyr.",PSM Makassar,Unknown League
Mufli Hidayat,7 Agt 2005 (20),"Rp869,08Jt.",PSM Makassar,Unknown League
Akbar Tanjung,16 Mei 1993 (32),"Rp3,91Mlyr.",PSM Makassar,Unknown League
Ananda Raehan,17 Des 2003 (22),"Rp3,04Mlyr.",PSM Makassar,Unknown League
Muhammad Arfan,22 Jan 1998 (28),"Rp2,61Mlyr.",PSM Makassar,Unknown League
Rifky Dwi Septiawan,3 Feb 2002 (23),"Rp1,74Mlyr.",PSM Makassar,Unknown League
Gledson,18 Mei 1995 (30),"Rp1,74Mlyr.",PSM Makassar,Unknown League
Resky Fandi,6 Sep 1999 (26),"Rp1,30Mlyr.",PSM Makassar,Unknown League
Rasyid Bakri,17 Jan 1991 (35),"Rp869,08Jt.",PSM Makassar,Unknown League
Sávio Roberto,30 Apr 1996 (29),"Rp6,08Mlyr.",PSM Makassar,Unknown League
Daisuke Sakai,18 Jan 1997 (29),"Rp4,35Mlyr.",PSM Makassar,Unknown League
Fahrul Aditia,26 Jun 2003 (22),"Rp1,30Mlyr.",PSM Makassar,Unknown League
Rizky Eka Pratama,24 Des 1999 (26),"Rp3,48Mlyr.",PSM Makassar,Unknown League
Victor Dethan,11 Jul 2004 (21),"Rp3,91Mlyr.",PSM Makassar,Unknown League
Abdul Rahman,1 Agt 2002 (23),"Rp2,17Mlyr.",PSM Makassar,Unknown League
Dzaky Asraf,6 Feb 2003 (22),"Rp1,74Mlyr.",PSM Makassar,Unknown League
Gala Pagamo,11 Agt 2006 (19),"Rp869,08Jt.",PSM Makassar,Unknown League
Muh Fahrul,1 Apr 2008 (17),-,PSM Makassar,Unknown League
Luka Cumic,25 Mei 2001 (24),"Rp6,08Mlyr.",PSM Makassar,Unknown League
Alex Tanque,14 Apr 1994 (31),"Rp5,65Mlyr.",PSM Makassar,Unknown League
Abu Razard Kamara,1 Apr 1997 (28),"Rp4,35Mlyr.",PSM Makassar,Unknown League
Ricky Pratama,6 Mei 2003 (22),"Rp2,61Mlyr.",PSM Makassar,Unknown League
Jacques Thémopelé,8 Feb 1998 (27),"Rp2,17Mlyr.",PSM Makassar,Unknown League
Nadeo Argawinata,9 Mar 1997 (28),"Rp6,95Mlyr.",Borneo FC Samarinda,Unknown League
Syahrul Trisna,26 Nov 1995 (30),"Rp2,61Mlyr.",Borneo FC Samarinda,Unknown League
